config/a,config/c,cvg,mae
0.51,1,1.0,0.07480356080351401
0.51,2,1.0,0.0474063526187045
0.51,3,1.0,0.044085655961432185
0.51,4,1.0,0.04654308101905312
0.51,5,0.9988888888888889,0.053481069733981035
0.6,1,0.9466666666666667,0.11080899798675993
0.6,2,1.0,0.06282010478893489
0.6,3,1.0,0.05181272894425928
0.6,4,0.9988888888888889,0.051089700508922725
0.6,5,0.9966666666666667,0.056929242910045814
0.7,1,0.6977777777777778,0.16039867251982273
0.7,2,0.9933333333333333,0.1013797205336919
0.7,3,0.9955555555555556,0.07399478898821313
0.7,4,0.9922222222222222,0.06463829067049111
0.7,5,0.9944444444444444,0.06622792768877189
0.8,1,0.5855555555555555,0.20987514409412047
0.8,2,0.7677777777777778,0.15968900822039794
0.8,3,0.9500000000000001,0.1201944716269384
0.8,4,0.9833333333333333,0.09951606461243248
0.8,5,0.9622222222222222,0.09267942550580027
0.9,1,0.5122222222222221,0.2524546483306419
0.9,2,0.4788888888888889,0.22396220936663822
0.9,3,0.67,0.18840299050198747
0.9,4,0.8533333333333333,0.16188337148960363
0.9,5,0.89,0.14914297174427177
0.99,1,0.4600000000000001,0.2829481665839403
0.99,2,0.38,0.2784927009029609
0.99,3,0.48666666666666664,0.2548081422947517
0.99,4,0.6144444444444445,0.2334432442234875
0.99,5,0.7544444444444445,0.22221255026159392
