cvg,mae,timestamp,checkpoint_dir_name,done,training_iteration,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/a,config/b,config/c,config/tau,config/E,config/T,config/dist_type,config/gene_process,config/mode,config/r,config/n_clients,config/n_sim,config/base_seed
0.77,0.06746704910526934,1746065959,,True,1,2025-05-01_02-19-19,2.5792901515960693,2.5792901515960693,2314050,qMxak3,172.17.0.3,2.5792901515960693,1,"11_E=log,T=1000,a=0.8000,c=1,tau=0.3000",0.8,0,1,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.036570135041320125,1746065945,,True,1,2025-05-01_02-19-05,3.8992061614990234,3.8992061614990234,2302412,qMxak3,172.17.0.3,3.8992061614990234,1,"1_E=5,T=1000,a=0.5100,c=1,tau=0.3000",0.51,0,1,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.039329668622819634,1746065946,,True,1,2025-05-01_02-19-06,4.681949138641357,4.681949138641357,2302408,qMxak3,172.17.0.3,4.681949138641357,1,"2_E=log,T=1000,a=0.5100,c=1,tau=0.3000",0.51,0,1,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.05015659713904505,1746065955,,True,1,2025-05-01_02-19-15,3.4956448078155518,3.4956448078155518,2308872,qMxak3,172.17.0.3,3.4956448078155518,1,"7_E=5,T=1000,a=0.7000,c=1,tau=0.3000",0.7,0,1,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
0.53,0.3105903853173474,1746065946,,True,1,2025-05-01_02-19-06,0.545914888381958,0.545914888381958,2305161,qMxak3,172.17.0.3,0.545914888381958,1,"3_E=1,T=1000,a=0.6000,c=1,tau=0.3000",0.6,0,1,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
0.88,0.05728488362638959,1746065956,,True,1,2025-05-01_02-19-16,4.290499925613403,4.290499925613403,2308878,qMxak3,172.17.0.3,4.290499925613403,1,"8_E=log,T=1000,a=0.7000,c=1,tau=0.3000",0.7,0,1,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
0.99,0.04695023341380816,1746065950,,True,1,2025-05-01_02-19-10,2.8778927326202393,2.8778927326202393,2307453,qMxak3,172.17.0.3,2.8778927326202393,1,"5_E=log,T=1000,a=0.6000,c=1,tau=0.3000",0.6,0,1,0.3,log,1000,normal,hete,federated,0.25,10,100,2025
1.0,0.042006552127894115,1746065950,,True,1,2025-05-01_02-19-10,2.90160870552063,2.90160870552063,2306316,qMxak3,172.17.0.3,2.90160870552063,1,"4_E=5,T=1000,a=0.6000,c=1,tau=0.3000",0.6,0,1,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
0.0,0.6043120730091737,1746065955,,True,1,2025-05-01_02-19-15,1.9495840072631836,1.9495840072631836,2312142,qMxak3,172.17.0.3,1.9495840072631836,1,"9_E=1,T=1000,a=0.8000,c=1,tau=0.3000",0.8,0,1,0.3,1,1000,normal,hete,federated,0.25,10,100,2025
0.95,0.057960888550818136,1746065959,,True,1,2025-05-01_02-19-19,2.337193727493286,2.337193727493286,2313894,qMxak3,172.17.0.3,2.337193727493286,1,"10_E=5,T=1000,a=0.8000,c=1,tau=0.3000",0.8,0,1,0.3,5,1000,normal,hete,federated,0.25,10,100,2025
